x, y, theta
1.115280300000000002e+00,1.610560000000000117e-02,8.540000041749497939e+01
1.123978300000000097e+00,1.681310000000000096e-02,8.529999948188282133e+01
1.132674900000000040e+00,1.753570000000000129e-02,8.520000035698426188e+01
1.141370299999999949e+00,1.827350000000000155e-02,8.510000036084670683e+01
1.150064399999999987e+00,1.902649999999999827e-02,8.500000032943860617e+01
1.158757199999999932e+00,1.979469999999999841e-02,8.489999995666674693e+01
1.167448599999999947e+00,2.057799999999999907e-02,8.480000018150090568e+01
1.176138700000000092e+00,2.137649999999999967e-02,8.469999945642635453e+01
1.184827300000000028e+00,2.219020000000000020e-02,8.459999975703389907e+01
1.193514500000000034e+00,2.301900000000000127e-02,8.449999974532870795e+01
1.202200200000000052e+00,2.386299999999999880e-02,8.440000014928865824e+01
1.210884499999999919e+00,2.472219999999999973e-02,8.429999952146680187e+01
1.219567199999999962e+00,2.559650000000000120e-02,8.419999995116562275e+01
1.228248400000000018e+00,2.648589999999999972e-02,8.409999999671158832e+01
1.236928000000000027e+00,2.739050000000000165e-02,8.400000037674216458e+01
1.245606100000000049e+00,2.831030000000000005e-02,8.389999964402373678e+01
1.254282499999999967e+00,2.924519999999999897e-02,8.379999989357665413e+01
1.262957300000000060e+00,3.019519999999999843e-02,8.369999968392542655e+01
1.271630400000000050e+00,3.116040000000000129e-02,8.359999972428127535e+01
1.280301799999999934e+00,3.214070000000000121e-02,8.349999983591453656e+01
1.288971499999999937e+00,3.313619999999999760e-02,8.339999958462776419e+01
1.297639399999999998e+00,3.414679999999999799e-02,8.329999993376097223e+01
1.306305599999999956e+00,3.517250000000000237e-02,8.319999944228041500e+01
1.314969899999999914e+00,3.621329999999999688e-02,8.310000008294936436e+01
1.323632399999999931e+00,3.726920000000000233e-02,8.300000041449364119e+01
1.332293100000000008e+00,3.834030000000000077e-02,8.289999999209763359e+01
1.340951900000000085e+00,3.942650000000000321e-02,8.279999978714143083e+01
1.349608799999999942e+00,4.052780000000000271e-02,8.269999949571840148e+01
1.358263699999999963e+00,4.164419999999999927e-02,8.259999995029488673e+01
1.366916699999999985e+00,4.277569999999999983e-02,8.249999971008287503e+01
1.375567699999999949e+00,4.392229999999999746e-02,8.239999960703602255e+01
1.384216600000000019e+00,4.508399999999999908e-02,8.230000047206135605e+01
1.392863600000000091e+00,4.626079999999999776e-02,8.219999972904993513e+01
1.401508399999999988e+00,4.745270000000000044e-02,8.210000047926716604e+01
1.410151200000000049e+00,4.865970000000000018e-02,8.200000014687590522e+01
1.418791899999999995e+00,4.988170000000000104e-02,8.189999972316942944e+01
1.427430399999999988e+00,5.111879999999999896e-02,8.179999987937000583e+01
1.436066700000000029e+00,5.237109999999999682e-02,8.170000014372894270e+01
1.444700899999999955e+00,5.363829999999999987e-02,8.159999957255003267e+01
1.453332800000000091e+00,5.492070000000000285e-02,8.149999963077917187e+01
1.461962399999999995e+00,5.621810000000000002e-02,8.140000034798268302e+01
1.470589799999999947e+00,5.753060000000000118e-02,8.130000011681211447e+01
1.479214900000000110e+00,5.885809999999999653e-02,8.119999993869285504e+01
1.487837599999999982e+00,6.020070000000000282e-02,8.110000046717716771e+01
1.496458000000000066e+00,6.155830000000000329e-02,8.100000044158109347e+01
1.505076099999999917e+00,6.293100000000000083e-02,8.089999937939344932e+01
1.513691700000000084e+00,6.431870000000000642e-02,8.079999941899087901e+01
1.522304799999999902e+00,6.572139999999999926e-02,8.070000025720760561e+01
1.530915500000000096e+00,6.713919999999999610e-02,8.060000027317710192e+01
