# x, y, z, psi, theta
6.04,8.06,8.06,37.71,37.71
6.05,8.06,8.06,37.75,37.75
6.05,8.06,8.06,37.78,37.78
6.05,8.07,8.07,37.82,37.82
6.05,8.07,8.07,37.85,37.85
6.05,8.07,8.07,37.89,37.89
6.06,8.07,8.07,37.93,37.93
6.06,8.08,8.08,37.96,37.96
6.06,8.08,8.08,38.00,38.00
6.06,8.08,8.08,38.03,38.03
6.06,8.08,8.08,38.07,38.07
6.07,8.09,8.09,38.11,38.11
6.07,8.09,8.09,38.14,38.14
6.07,8.09,8.09,38.18,38.18
6.07,8.09,8.09,38.21,38.21
6.07,8.10,8.10,38.25,38.25
6.08,8.10,8.10,38.29,38.29
6.08,8.10,8.10,38.32,38.32
6.08,8.10,8.10,38.36,38.36
6.08,8.11,8.11,38.39,38.39
6.08,8.11,8.11,38.43,38.43
6.09,8.11,8.11,38.47,38.47
6.09,8.11,8.11,38.50,38.50
6.09,8.12,8.12,38.54,38.54
6.09,8.12,8.12,38.57,38.57
6.09,8.12,8.12,38.61,38.61
6.09,8.12,8.12,38.65,38.65
6.10,8.13,8.13,38.68,38.68
6.10,8.13,8.13,38.72,38.72
6.10,8.13,8.13,38.75,38.75
6.10,8.13,8.13,38.79,38.79
6.10,8.13,8.13,38.83,38.83
6.11,8.14,8.14,38.86,38.86
6.11,8.14,8.14,38.90,38.90
6.11,8.14,8.14,38.93,38.93
6.11,8.14,8.14,38.97,38.97
6.11,8.15,8.15,39.01,39.01
6.12,8.15,8.15,39.04,39.04
6.12,8.15,8.15,39.08,39.08
6.12,8.15,8.15,39.11,39.11
6.12,8.16,8.16,39.15,39.15
6.12,8.16,8.16,39.19,39.19
6.13,8.16,8.16,39.22,39.22
6.13,8.16,8.16,39.26,39.26
6.13,8.17,8.17,39.29,39.29
6.13,8.17,8.17,39.33,39.33
6.13,8.17,8.17,39.37,39.37
6.14,8.17,8.17,39.40,39.40
6.14,8.18,8.18,39.44,39.44
6.14,8.18,8.18,39.47,39.47
6.14,8.18,8.18,39.51,39.51
6.14,8.18,8.18,39.55,39.55
6.15,8.19,8.19,39.58,39.58
6.15,8.19,8.19,39.62,39.62
6.15,8.19,8.19,39.65,39.65
6.15,8.19,8.19,39.69,39.69
6.15,8.20,8.20,39.73,39.73
6.16,8.20,8.20,39.76,39.76
6.16,8.20,8.20,39.80,39.80
6.16,8.20,8.20,39.83,39.83
6.16,8.21,8.21,39.87,39.87
6.16,8.21,8.21,39.91,39.91
6.17,8.21,8.21,39.94,39.94
6.17,8.21,8.21,39.98,39.98
6.17,8.21,8.21,40.01,40.01
6.17,8.22,8.22,40.05,40.05
6.17,8.22,8.22,40.09,40.09
6.18,8.22,8.22,40.12,40.12
6.18,8.22,8.22,40.16,40.16
6.18,8.23,8.23,40.19,40.19
6.18,8.23,8.23,40.23,40.23
6.18,8.23,8.23,40.27,40.27
6.19,8.23,8.23,40.30,40.30
6.19,8.24,8.24,40.34,40.34
6.19,8.24,8.24,40.37,40.37
6.19,8.24,8.24,40.41,40.41
6.19,8.24,8.24,40.45,40.45
6.20,8.25,8.25,40.48,40.48
6.20,8.25,8.25,40.52,40.52
6.20,8.25,8.25,40.55,40.55
6.20,8.25,8.25,40.59,40.59
6.21,8.26,8.26,40.63,40.63
6.21,8.26,8.26,40.66,40.66
6.21,8.26,8.26,40.70,40.70
6.21,8.26,8.26,40.73,40.73
6.21,8.27,8.27,40.77,40.77
6.22,8.27,8.27,40.81,40.81
6.22,8.27,8.27,40.84,40.84
6.22,8.27,8.27,40.88,40.88
6.22,8.27,8.27,40.91,40.91
6.22,8.28,8.28,40.95,40.95
6.23,8.28,8.28,40.99,40.99
6.23,8.28,8.28,41.02,41.02
6.23,8.28,8.28,41.06,41.06
6.23,8.29,8.29,41.09,41.09
6.23,8.29,8.29,41.13,41.13
6.24,8.29,8.29,41.17,41.17
6.24,8.29,8.29,41.20,41.20
6.24,8.30,8.30,41.24,41.24
6.24,8.30,8.30,41.27,41.27
6.24,8.30,8.30,41.31,41.31
6.25,8.30,8.30,41.35,41.35
6.25,8.31,8.31,41.38,41.38
6.25,8.31,8.31,41.42,41.42
6.25,8.31,8.31,41.45,41.45
6.25,8.31,8.31,41.49,41.49
6.26,8.31,8.31,41.53,41.53
6.26,8.32,8.32,41.56,41.56
6.26,8.32,8.32,41.60,41.60
6.26,8.32,8.32,41.63,41.63
6.27,8.32,8.32,41.67,41.67
6.27,8.33,8.33,41.71,41.71
6.27,8.33,8.33,41.74,41.74
6.27,8.33,8.33,41.78,41.78
6.27,8.33,8.33,41.81,41.81
6.28,8.34,8.34,41.85,41.85
6.28,8.34,8.34,41.89,41.89
6.28,8.34,8.34,41.92,41.92
6.28,8.34,8.34,41.96,41.96
6.28,8.35,8.35,41.99,41.99
6.29,8.35,8.35,42.03,42.03
6.29,8.35,8.35,42.07,42.07
6.29,8.35,8.35,42.10,42.10
6.29,8.35,8.35,42.14,42.14
6.29,8.36,8.36,42.17,42.17
6.30,8.36,8.36,42.21,42.21
6.30,8.36,8.36,42.24,42.24
6.30,8.36,8.36,42.28,42.28
6.30,8.37,8.37,42.32,42.32
6.30,8.37,8.37,42.35,42.35
6.31,8.37,8.37,42.39,42.39
6.31,8.37,8.37,42.42,42.42
6.31,8.38,8.38,42.46,42.46
6.31,8.38,8.38,42.50,42.50
6.32,8.38,8.38,42.53,42.53
6.32,8.38,8.38,42.57,42.57
6.32,8.38,8.38,42.60,42.60
6.32,8.39,8.39,42.64,42.64
6.32,8.39,8.39,42.68,42.68
6.33,8.39,8.39,42.71,42.71
6.33,8.39,8.39,42.75,42.75
6.33,8.40,8.40,42.78,42.78
6.33,8.40,8.40,42.82,42.82
6.33,8.40,8.40,42.86,42.86
6.34,8.40,8.40,42.89,42.89
6.34,8.41,8.41,42.93,42.93
6.34,8.41,8.41,42.96,42.96
6.34,8.41,8.41,43.00,43.00
6.35,8.41,8.41,43.04,43.04
6.35,8.41,8.41,43.07,43.07
6.35,8.42,8.42,43.11,43.11
6.35,8.42,8.42,43.14,43.14
6.35,8.42,8.42,43.18,43.18
6.36,8.42,8.42,43.22,43.22
6.36,8.43,8.43,43.25,43.25
6.36,8.43,8.43,43.29,43.29
6.36,8.43,8.43,43.32,43.32
6.36,8.43,8.43,43.36,43.36
6.37,8.44,8.44,43.40,43.40
6.37,8.44,8.44,43.43,43.43
6.37,8.44,8.44,43.47,43.47
6.37,8.44,8.44,43.50,43.50
6.38,8.44,8.44,43.54,43.54
6.38,8.45,8.45,43.58,43.58
6.38,8.45,8.45,43.61,43.61
6.38,8.45,8.45,43.65,43.65
6.38,8.45,8.45,43.68,43.68
6.39,8.46,8.46,43.72,43.72
6.39,8.46,8.46,43.76,43.76
6.39,8.46,8.46,43.79,43.79
6.39,8.46,8.46,43.83,43.83
6.40,8.46,8.46,43.86,43.86
6.40,8.47,8.47,43.90,43.90
6.40,8.47,8.47,43.94,43.94
6.40,8.47,8.47,43.97,43.97
6.40,8.47,8.47,44.01,44.01
6.41,8.48,8.48,44.04,44.04
6.41,8.48,8.48,44.08,44.08
6.41,8.48,8.48,44.12,44.12
6.41,8.48,8.48,44.15,44.15
6.41,8.49,8.49,44.19,44.19
6.42,8.49,8.49,44.22,44.22
6.42,8.49,8.49,44.26,44.26
6.42,8.49,8.49,44.30,44.30
6.42,8.49,8.49,44.33,44.33
6.43,8.50,8.50,44.37,44.37
6.43,8.50,8.50,44.40,44.40
6.43,8.50,8.50,44.44,44.44
6.43,8.50,8.50,44.48,44.48
6.43,8.51,8.51,44.51,44.51
6.44,8.51,8.51,44.55,44.55
6.44,8.51,8.51,44.58,44.58
6.44,8.51,8.51,44.62,44.62
6.44,8.51,8.51,44.66,44.66
6.45,8.52,8.52,44.69,44.69
6.45,8.52,8.52,44.73,44.73
6.45,8.52,8.52,44.76,44.76
6.45,8.52,8.52,44.80,44.80
6.45,8.53,8.53,44.84,44.84
6.46,8.53,8.53,44.87,44.87
6.46,8.53,8.53,44.91,44.91
6.46,8.53,8.53,44.94,44.94
6.46,8.53,8.53,44.98,44.98
6.47,8.54,8.54,45.02,45.02
6.47,8.54,8.54,45.05,45.05
6.47,8.54,8.54,45.09,45.09
6.47,8.54,8.54,45.12,45.12
6.47,8.55,8.55,45.16,45.16
6.48,8.55,8.55,45.20,45.20
6.48,8.55,8.55,45.23,45.23
6.48,8.55,8.55,45.27,45.27
6.48,8.55,8.55,45.30,45.30
6.49,8.56,8.56,45.34,45.34
6.49,8.56,8.56,45.38,45.38
6.49,8.56,8.56,45.41,45.41
6.49,8.56,8.56,45.45,45.45
6.49,8.57,8.57,45.48,45.48
6.50,8.57,8.57,45.52,45.52
6.50,8.57,8.57,45.56,45.56
6.50,8.57,8.57,45.59,45.59
6.50,8.57,8.57,45.63,45.63
6.51,8.58,8.58,45.66,45.66
6.51,8.58,8.58,45.70,45.70
6.51,8.58,8.58,45.74,45.74
6.51,8.58,8.58,45.77,45.77
6.51,8.59,8.59,45.81,45.81
6.52,8.59,8.59,45.84,45.84
6.52,8.59,8.59,45.88,45.88
6.52,8.59,8.59,45.92,45.92
6.52,8.59,8.59,45.95,45.95
6.53,8.60,8.60,45.99,45.99
6.53,8.60,8.60,46.02,46.02
6.53,8.60,8.60,46.06,46.06
6.53,8.60,8.60,46.10,46.10
6.53,8.60,8.60,46.13,46.13
6.54,8.61,8.61,46.17,46.17
6.54,8.61,8.61,46.20,46.20
6.54,8.61,8.61,46.24,46.24
6.54,8.61,8.61,46.28,46.28
6.55,8.62,8.62,46.31,46.31
6.55,8.62,8.62,46.35,46.35
6.55,8.62,8.62,46.38,46.38
6.55,8.62,8.62,46.42,46.42
6.56,8.62,8.62,46.46,46.46
6.56,8.63,8.63,46.49,46.49
6.56,8.63,8.63,46.53,46.53
6.56,8.63,8.63,46.56,46.56
6.56,8.63,8.63,46.60,46.60
6.57,8.63,8.63,46.64,46.64
6.57,8.64,8.64,46.67,46.67
6.57,8.64,8.64,46.71,46.71
6.57,8.64,8.64,46.74,46.74
6.58,8.64,8.64,46.78,46.78
6.58,8.65,8.65,46.82,46.82
6.58,8.65,8.65,46.85,46.85
6.58,8.65,8.65,46.89,46.89
6.59,8.65,8.65,46.92,46.92
6.59,8.65,8.65,46.96,46.96
6.59,8.66,8.66,47.00,47.00
6.59,8.66,8.66,47.03,47.03
6.59,8.66,8.66,47.07,47.07
6.60,8.66,8.66,47.10,47.10
6.60,8.67,8.67,47.14,47.14
6.60,8.67,8.67,47.18,47.18
6.60,8.67,8.67,47.21,47.21
6.61,8.67,8.67,47.25,47.25
6.61,8.67,8.67,47.28,47.28
6.61,8.68,8.68,47.32,47.32
6.61,8.68,8.68,47.36,47.36
6.62,8.68,8.68,47.39,47.39
6.62,8.68,8.68,47.43,47.43
6.62,8.68,8.68,47.46,47.46
6.62,8.69,8.69,47.50,47.50
6.62,8.69,8.69,47.54,47.54
6.63,8.69,8.69,47.57,47.57
6.63,8.69,8.69,47.61,47.61
6.63,8.69,8.69,47.64,47.64
6.63,8.70,8.70,47.68,47.68
6.64,8.70,8.70,47.72,47.72
6.64,8.70,8.70,47.75,47.75
6.64,8.70,8.70,47.79,47.79
6.64,8.71,8.71,47.82,47.82
6.65,8.71,8.71,47.86,47.86
6.65,8.71,8.71,47.89,47.89
6.65,8.71,8.71,47.93,47.93
6.65,8.71,8.71,47.97,47.97
6.65,8.72,8.72,48.00,48.00
6.66,8.72,8.72,48.04,48.04
6.66,8.72,8.72,48.07,48.07
6.66,8.72,8.72,48.11,48.11
6.66,8.72,8.72,48.15,48.15
6.67,8.73,8.73,48.18,48.18
6.67,8.73,8.73,48.22,48.22
6.67,8.73,8.73,48.25,48.25
6.67,8.73,8.73,48.29,48.29
6.68,8.73,8.73,48.33,48.33
6.68,8.74,8.74,48.36,48.36
6.68,8.74,8.74,48.40,48.40
6.68,8.74,8.74,48.43,48.43
6.68,8.74,8.74,48.47,48.47
6.69,8.75,8.75,48.51,48.51
6.69,8.75,8.75,48.54,48.54
6.69,8.75,8.75,48.58,48.58
6.69,8.75,8.75,48.61,48.61
6.70,8.75,8.75,48.65,48.65
6.70,8.76,8.76,48.69,48.69
6.70,8.76,8.76,48.72,48.72
6.70,8.76,8.76,48.76,48.76
6.71,8.76,8.76,48.79,48.79
6.71,8.76,8.76,48.83,48.83
6.71,8.77,8.77,48.87,48.87
6.71,8.77,8.77,48.90,48.90
6.72,8.77,8.77,48.94,48.94
6.72,8.77,8.77,48.97,48.97
6.72,8.77,8.77,49.01,49.01
6.72,8.78,8.78,49.05,49.05
6.73,8.78,8.78,49.08,49.08
6.73,8.78,8.78,49.12,49.12
6.73,8.78,8.78,49.15,49.15
6.73,8.78,8.78,49.19,49.19
6.73,8.79,8.79,49.23,49.23
6.74,8.79,8.79,49.26,49.26
6.74,8.79,8.79,49.30,49.30
6.74,8.79,8.79,49.33,49.33
6.74,8.79,8.79,49.37,49.37
6.75,8.80,8.80,49.41,49.41
6.75,8.80,8.80,49.44,49.44
6.75,8.80,8.80,49.48,49.48
6.75,8.80,8.80,49.51,49.51
6.76,8.80,8.80,49.55,49.55
6.76,8.81,8.81,49.59,49.59
6.76,8.81,8.81,49.62,49.62
6.76,8.81,8.81,49.66,49.66
6.77,8.81,8.81,49.69,49.69
6.77,8.82,8.82,49.73,49.73
6.77,8.82,8.82,49.77,49.77
6.77,8.82,8.82,49.80,49.80
6.78,8.82,8.82,49.84,49.84
6.78,8.82,8.82,49.87,49.87
6.78,8.83,8.83,49.91,49.91
6.78,8.83,8.83,49.95,49.95
6.78,8.83,8.83,49.98,49.98
6.79,8.83,8.83,50.02,50.02
6.79,8.83,8.83,50.05,50.05
6.79,8.84,8.84,50.09,50.09
6.79,8.84,8.84,50.13,50.13
6.80,8.84,8.84,50.16,50.16
6.80,8.84,8.84,50.20,50.20
6.80,8.84,8.84,50.23,50.23
6.80,8.85,8.85,50.27,50.27
6.81,8.85,8.85,50.31,50.31
6.81,8.85,8.85,50.34,50.34
6.81,8.85,8.85,50.38,50.38
6.81,8.85,8.85,50.41,50.41
6.82,8.86,8.86,50.45,50.45
6.82,8.86,8.86,50.49,50.49
6.82,8.86,8.86,50.52,50.52
6.82,8.86,8.86,50.56,50.56
6.83,8.86,8.86,50.59,50.59
6.83,8.87,8.87,50.63,50.63
6.83,8.87,8.87,50.67,50.67
6.83,8.87,8.87,50.70,50.70
6.84,8.87,8.87,50.74,50.74
6.84,8.87,8.87,50.77,50.77
6.84,8.88,8.88,50.81,50.81
6.84,8.88,8.88,50.85,50.85
6.85,8.88,8.88,50.88,50.88
6.85,8.88,8.88,50.92,50.92
6.85,8.88,8.88,50.95,50.95
6.85,8.89,8.89,50.99,50.99
6.86,8.89,8.89,51.03,51.03
6.86,8.89,8.89,51.06,51.06
6.86,8.89,8.89,51.10,51.10
6.86,8.89,8.89,51.13,51.13
6.86,8.90,8.90,51.17,51.17
6.87,8.90,8.90,51.21,51.21
6.87,8.90,8.90,51.24,51.24
6.87,8.90,8.90,51.28,51.28
6.87,8.90,8.90,51.31,51.31
6.88,8.90,8.90,51.35,51.35
6.88,8.91,8.91,51.39,51.39
6.88,8.91,8.91,51.42,51.42
6.88,8.91,8.91,51.46,51.46
6.89,8.91,8.91,51.49,51.49
6.89,8.91,8.91,51.53,51.53
6.89,8.92,8.92,51.57,51.57
6.89,8.92,8.92,51.60,51.60
6.90,8.92,8.92,51.64,51.64
6.90,8.92,8.92,51.67,51.67
6.90,8.92,8.92,51.71,51.71
6.90,8.93,8.93,51.75,51.75
6.91,8.93,8.93,51.78,51.78
6.91,8.93,8.93,51.82,51.82
6.91,8.93,8.93,51.85,51.85
6.91,8.93,8.93,51.89,51.89
6.92,8.94,8.94,51.93,51.93
6.92,8.94,8.94,51.96,51.96
6.92,8.94,8.94,52.00,52.00
6.92,8.94,8.94,52.03,52.03
6.93,8.94,8.94,52.07,52.07
6.93,8.95,8.95,52.11,52.11
6.93,8.95,8.95,52.14,52.14
6.93,8.95,8.95,52.18,52.18
6.94,8.95,8.95,52.21,52.21
6.94,8.95,8.95,52.25,52.25
6.94,8.96,8.96,52.29,52.29
6.94,8.96,8.96,52.32,52.32
6.95,8.96,8.96,52.36,52.36
6.95,8.96,8.96,52.39,52.39
6.95,8.96,8.96,52.43,52.43
6.95,8.96,8.96,52.47,52.47
6.96,8.97,8.97,52.50,52.50
6.96,8.97,8.97,52.54,52.54
6.96,8.97,8.97,52.57,52.57
6.96,8.97,8.97,52.61,52.61
6.97,8.97,8.97,52.65,52.65
6.97,8.98,8.98,52.68,52.68
6.97,8.98,8.98,52.72,52.72
6.97,8.98,8.98,52.75,52.75
6.98,8.98,8.98,52.79,52.79
6.98,8.98,8.98,52.83,52.83
6.98,8.99,8.99,52.86,52.86
6.98,8.99,8.99,52.90,52.90
6.99,8.99,8.99,52.93,52.93
6.99,8.99,8.99,52.97,52.97
6.99,8.99,8.99,53.01,53.01
6.99,9.00,9.00,53.04,53.04
7.00,9.00,9.00,53.08,53.08
7.00,9.00,9.00,53.11,53.11
7.00,9.00,9.00,53.15,53.15
7.00,9.00,9.00,53.19,53.19
7.01,9.00,9.00,53.22,53.22
7.01,9.01,9.01,53.26,53.26
7.01,9.01,9.01,53.29,53.29
7.01,9.01,9.01,53.33,53.33
7.02,9.01,9.01,53.37,53.37
7.02,9.01,9.01,53.40,53.40
7.02,9.02,9.02,53.44,53.44
7.02,9.02,9.02,53.47,53.47
7.03,9.02,9.02,53.51,53.51
7.03,9.02,9.02,53.54,53.54
7.03,9.02,9.02,53.58,53.58
7.03,9.03,9.03,53.62,53.62
7.04,9.03,9.03,53.65,53.65
7.04,9.03,9.03,53.69,53.69
7.04,9.03,9.03,53.72,53.72
7.04,9.03,9.03,53.76,53.76
7.05,9.03,9.03,53.80,53.80
7.05,9.04,9.04,53.83,53.83
7.05,9.04,9.04,53.87,53.87
7.05,9.04,9.04,53.90,53.90
7.06,9.04,9.04,53.94,53.94
7.06,9.04,9.04,53.98,53.98
7.06,9.05,9.05,54.01,54.01
7.06,9.05,9.05,54.05,54.05
7.07,9.05,9.05,54.08,54.08
7.07,9.05,9.05,54.12,54.12
7.07,9.05,9.05,54.16,54.16
7.07,9.05,9.05,54.19,54.19
7.08,9.06,9.06,54.23,54.23
7.08,9.06,9.06,54.26,54.26
7.08,9.06,9.06,54.30,54.30
7.08,9.06,9.06,54.34,54.34
7.09,9.06,9.06,54.37,54.37
7.09,9.07,9.07,54.41,54.41
7.09,9.07,9.07,54.44,54.44
7.10,9.07,9.07,54.48,54.48
7.10,9.07,9.07,54.52,54.52
7.10,9.07,9.07,54.55,54.55
7.10,9.08,9.08,54.59,54.59
7.11,9.08,9.08,54.62,54.62
7.11,9.08,9.08,54.66,54.66
7.11,9.08,9.08,54.70,54.70
7.11,9.08,9.08,54.73,54.73
7.12,9.08,9.08,54.77,54.77
7.12,9.09,9.09,54.80,54.80
7.12,9.09,9.09,54.84,54.84
7.12,9.09,9.09,54.88,54.88
7.13,9.09,9.09,54.91,54.91
7.13,9.09,9.09,54.95,54.95
7.13,9.09,9.09,54.98,54.98
7.13,9.10,9.10,55.02,55.02
7.14,9.10,9.10,55.06,55.06
7.14,9.10,9.10,55.09,55.09
7.14,9.10,9.10,55.13,55.13
7.14,9.10,9.10,55.16,55.16
7.15,9.11,9.11,55.20,55.20
7.15,9.11,9.11,55.24,55.24
7.15,9.11,9.11,55.27,55.27
7.15,9.11,9.11,55.31,55.31
7.16,9.11,9.11,55.34,55.34
7.16,9.11,9.11,55.38,55.38
7.16,9.12,9.12,55.42,55.42
7.16,9.12,9.12,55.45,55.45
7.17,9.12,9.12,55.49,55.49
7.17,9.12,9.12,55.52,55.52
7.17,9.12,9.12,55.56,55.56
7.17,9.13,9.13,55.60,55.60
7.18,9.13,9.13,55.63,55.63
7.18,9.13,9.13,55.67,55.67
7.18,9.13,9.13,55.70,55.70
7.19,9.13,9.13,55.74,55.74
7.19,9.13,9.13,55.78,55.78
7.19,9.14,9.14,55.81,55.81
7.19,9.14,9.14,55.85,55.85
7.20,9.14,9.14,55.88,55.88
7.20,9.14,9.14,55.92,55.92
7.20,9.14,9.14,55.96,55.96
7.20,9.14,9.14,55.99,55.99
7.21,9.15,9.15,56.03,56.03
7.21,9.15,9.15,56.06,56.06
7.21,9.15,9.15,56.10,56.10
7.21,9.15,9.15,56.14,56.14
7.22,9.15,9.15,56.17,56.17
7.22,9.16,9.16,56.21,56.21
7.22,9.16,9.16,56.24,56.24
7.22,9.16,9.16,56.28,56.28
7.23,9.16,9.16,56.32,56.32
7.23,9.16,9.16,56.35,56.35
7.23,9.16,9.16,56.39,56.39
7.23,9.17,9.17,56.42,56.42
7.24,9.17,9.17,56.46,56.46
7.24,9.17,9.17,56.50,56.50
7.24,9.17,9.17,56.53,56.53
7.25,9.17,9.17,56.57,56.57
7.25,9.17,9.17,56.60,56.60
7.25,9.18,9.18,56.64,56.64
7.25,9.18,9.18,56.68,56.68
7.26,9.18,9.18,56.71,56.71
7.26,9.18,9.18,56.75,56.75
7.26,9.18,9.18,56.78,56.78
7.26,9.18,9.18,56.82,56.82
7.27,9.19,9.19,56.86,56.86
7.27,9.19,9.19,56.89,56.89
7.27,9.19,9.19,56.93,56.93
7.27,9.19,9.19,56.96,56.96
7.28,9.19,9.19,57.00,57.00
7.28,9.20,9.20,57.04,57.04
7.28,9.20,9.20,57.07,57.07
7.28,9.20,9.20,57.11,57.11
7.29,9.20,9.20,57.14,57.14
7.29,9.20,9.20,57.18,57.18
7.29,9.20,9.20,57.22,57.22
7.30,9.21,9.21,57.25,57.25
7.30,9.21,9.21,57.29,57.29
7.30,9.21,9.21,57.32,57.32
7.30,9.21,9.21,57.36,57.36
7.31,9.21,9.21,57.40,57.40
7.31,9.21,9.21,57.43,57.43
7.31,9.22,9.22,57.47,57.47
7.31,9.22,9.22,57.50,57.50
7.32,9.22,9.22,57.54,57.54
7.32,9.22,9.22,57.58,57.58
7.32,9.22,9.22,57.61,57.61
7.32,9.22,9.22,57.65,57.65
7.33,9.23,9.23,57.68,57.68
7.33,9.23,9.23,57.72,57.72
7.33,9.23,9.23,57.76,57.76
7.33,9.23,9.23,57.79,57.79
7.34,9.23,9.23,57.83,57.83
7.34,9.23,9.23,57.86,57.86
7.34,9.24,9.24,57.90,57.90
7.35,9.24,9.24,57.94,57.94
7.35,9.24,9.24,57.97,57.97
7.35,9.24,9.24,58.01,58.01
7.35,9.24,9.24,58.04,58.04
7.36,9.24,9.24,58.08,58.08
7.36,9.25,9.25,58.12,58.12
7.36,9.25,9.25,58.15,58.15
7.36,9.25,9.25,58.19,58.19
7.37,9.25,9.25,58.22,58.22
7.37,9.25,9.25,58.26,58.26
7.37,9.25,9.25,58.30,58.30
7.37,9.26,9.26,58.33,58.33
7.38,9.26,9.26,58.37,58.37
7.38,9.26,9.26,58.40,58.40
7.38,9.26,9.26,58.44,58.44
7.39,9.26,9.26,58.48,58.48
7.39,9.26,9.26,58.51,58.51
7.39,9.27,9.27,58.55,58.55
7.39,9.27,9.27,58.58,58.58
7.40,9.27,9.27,58.62,58.62
7.40,9.27,9.27,58.66,58.66
7.40,9.27,9.27,58.69,58.69
7.40,9.27,9.27,58.73,58.73
7.41,9.28,9.28,58.76,58.76
7.41,9.28,9.28,58.80,58.80
7.41,9.28,9.28,58.84,58.84
7.42,9.28,9.28,58.87,58.87
7.42,9.28,9.28,58.91,58.91
7.42,9.28,9.28,58.94,58.94
7.42,9.28,9.28,58.98,58.98
7.43,9.29,9.29,59.02,59.02
7.43,9.29,9.29,59.05,59.05
7.43,9.29,9.29,59.09,59.09
7.43,9.29,9.29,59.12,59.12
7.44,9.29,9.29,59.16,59.16
7.44,9.29,9.29,59.19,59.19
7.44,9.30,9.30,59.23,59.23
7.44,9.30,9.30,59.27,59.27
7.45,9.30,9.30,59.30,59.30
7.45,9.30,9.30,59.34,59.34
7.45,9.30,9.30,59.37,59.37
7.46,9.30,9.30,59.41,59.41
7.46,9.31,9.31,59.45,59.45
7.46,9.31,9.31,59.48,59.48
7.46,9.31,9.31,59.52,59.52
7.47,9.31,9.31,59.55,59.55
7.47,9.31,9.31,59.59,59.59
7.47,9.31,9.31,59.63,59.63
7.47,9.32,9.32,59.66,59.66
7.48,9.32,9.32,59.70,59.70
7.48,9.32,9.32,59.73,59.73
7.48,9.32,9.32,59.77,59.77
7.49,9.32,9.32,59.81,59.81
7.49,9.32,9.32,59.84,59.84
7.49,9.32,9.32,59.88,59.88
7.49,9.33,9.33,59.91,59.91
7.50,9.33,9.33,59.95,59.95
7.50,9.33,9.33,59.99,59.99
7.50,9.33,9.33,60.02,60.02
7.50,9.33,9.33,60.06,60.06
7.51,9.33,9.33,60.09,60.09
7.51,9.34,9.34,60.13,60.13
7.51,9.34,9.34,60.17,60.17
7.52,9.34,9.34,60.20,60.20
7.52,9.34,9.34,60.24,60.24
7.52,9.34,9.34,60.27,60.27
7.52,9.34,9.34,60.31,60.31
7.53,9.35,9.35,60.35,60.35
7.53,9.35,9.35,60.38,60.38
7.53,9.35,9.35,60.42,60.42
7.53,9.35,9.35,60.45,60.45
7.54,9.35,9.35,60.49,60.49
7.54,9.35,9.35,60.53,60.53
7.54,9.35,9.35,60.56,60.56
7.55,9.36,9.36,60.60,60.60
7.55,9.36,9.36,60.63,60.63
7.55,9.36,9.36,60.67,60.67
7.55,9.36,9.36,60.71,60.71
7.56,9.36,9.36,60.74,60.74
7.56,9.36,9.36,60.78,60.78
7.56,9.37,9.37,60.81,60.81
7.56,9.37,9.37,60.85,60.85
7.57,9.37,9.37,60.89,60.89
7.57,9.37,9.37,60.92,60.92
7.57,9.37,9.37,60.96,60.96
7.58,9.37,9.37,60.99,60.99
7.58,9.37,9.37,61.03,61.03
7.58,9.38,9.38,61.07,61.07
7.58,9.38,9.38,61.10,61.10
7.59,9.38,9.38,61.14,61.14
7.59,9.38,9.38,61.17,61.17
7.59,9.38,9.38,61.21,61.21
7.59,9.38,9.38,61.25,61.25
7.60,9.38,9.38,61.28,61.28
7.60,9.39,9.39,61.32,61.32
7.60,9.39,9.39,61.35,61.35
7.61,9.39,9.39,61.39,61.39
7.61,9.39,9.39,61.43,61.43
7.61,9.39,9.39,61.46,61.46
7.61,9.39,9.39,61.50,61.50
7.62,9.40,9.40,61.53,61.53
7.62,9.40,9.40,61.57,61.57
7.62,9.40,9.40,61.61,61.61
7.63,9.40,9.40,61.64,61.64
7.63,9.40,9.40,61.68,61.68
7.63,9.40,9.40,61.71,61.71
7.63,9.40,9.40,61.75,61.75
7.64,9.41,9.41,61.79,61.79
7.64,9.41,9.41,61.82,61.82
7.64,9.41,9.41,61.86,61.86
7.64,9.41,9.41,61.89,61.89
7.65,9.41,9.41,61.93,61.93
7.65,9.41,9.41,61.97,61.97
7.65,9.41,9.41,62.00,62.00
7.66,9.42,9.42,62.04,62.04
7.66,9.42,9.42,62.07,62.07
7.66,9.42,9.42,62.11,62.11
7.66,9.42,9.42,62.15,62.15
7.67,9.42,9.42,62.18,62.18
7.67,9.42,9.42,62.22,62.22
7.67,9.43,9.43,62.25,62.25
7.68,9.43,9.43,62.29,62.29
7.68,9.43,9.43,62.33,62.33
7.68,9.43,9.43,62.36,62.36
7.68,9.43,9.43,62.40,62.40
7.69,9.43,9.43,62.43,62.43
7.69,9.43,9.43,62.47,62.47
7.69,9.44,9.44,62.51,62.51
7.69,9.44,9.44,62.54,62.54
7.70,9.44,9.44,62.58,62.58
7.70,9.44,9.44,62.61,62.61
7.70,9.44,9.44,62.65,62.65
7.71,9.44,9.44,62.69,62.69
7.71,9.44,9.44,62.72,62.72
7.71,9.45,9.45,62.76,62.76
7.71,9.45,9.45,62.79,62.79
7.72,9.45,9.45,62.83,62.83
